MAPID	MAPSETID	MAPCONCEPTID	MAPOPTION	MAPGROUP	MAPPRIORITY	MAPTARGETID	MAPCATEGORY	MAPRULE	MAPADVICE
861065	110040	103017008	1	1	1	5673051	32		IFA: Meniere's disease and other specified vertiginous syndromes (386.0-386.9)
175105060	110040	65956007	6	1	6	5262053	31		IFA: Better eye: profound vision impairment; lesser eye: total vision impairment
170773064	110040	93985007	1	1	1	4095059	11		OTHERWISE
175929067	110040	82639001	1	1	1	1248053	11		OTHERWISE
174739062	110040	596004	1	1	1	1248053	11		OTHERWISE
171696062	110040	234097001	1	1	1	1745050	31		IFA: Elephantiasis (nonfilarial),congenital
173932067	110040	41832009	5	1	5	4779052	11		OTHERWISE
174428064	110040	52089001	1	1	1	9545318057	31		IFA: Arteritis, endarteritis,aortic arch
13684063	110040	161469008	1	1	1	9553419056	11		OTHERWISE
173842065	110040	4120002	1	1	1	5944050	11		OTHERWISE
175614068	110040	76498008	5	1	5	2853052	11		OTHERWISE
105989064	110040	312975006	1	1	1	1166052	31		IFA: Postural proteinuria
94250065	110040	29596007	5	1	5	6062050	31		IFA: Respiratory failure - acute
173002062	110040	31515003	5	1	5	6062050	31		IFA: Respiratory failure,acute
176350060	110040	91603007	1	1	1	8706053	12		OTHERWISE
173207060	110040	35885006	5	1	5	4643053	32		IFA: Specific finding indicating abnormality of,lipid metabolism (272.0-272.9)
176503067	110040	93676009	2	1	2	4033051	31		IFA: Anus,margin (172.5
176256068	110040	89461002	1	1	1	960054	11		OTHERWISE
100976066	110040	301004001	2	1	2	6001058	31		IFA: Influenza with pneumonia
175725065	110040	78745000	2	1	2	1749057	11		OTHERWISE
100981063	110040	301004001	7	1	7	6000057	12		OTHERWISE
30346066	110040	205237003	7	1	7	6000057	12		OTHERWISE
100967060	110040	301002002	7	1	7	6000057	12		OTHERWISE
44889069	110040	233604007	7	1	7	6000057	12		OTHERWISE
23140060	110040	19242006	14	1	14	6000057	32		IFA: Hypostatic pneumonia due to or specified as specific type of pneumonia - code to the type of pneumonia (480-480.9, 481, 482.0-482.49, 483.0-483.9, 485, 486, 487.0) - Pneumonia, organism unspecified
172815061	110040	301021005	1	1	1	6881056	11		OTHERWISE
114512068	110040	371087003	1	2	1	6881056	11		OTHERWISE
23919062	110040	193901000	1	1	1	799054	11		OTHERWISE
171597064	110040	22649008	1	1	1	1379054	31		IFA: Sunburn,first degree
