TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
6001058	2.16.840.1.113883.6.5.2.1	487.0		
1363053	2.16.840.1.113883.6.5.2.1	682.6		
1925051	2.16.840.1.113883.6.5.2.1	785.9		
6816056	2.16.840.1.113883.6.5.2.1	680.9		
4396051	2.16.840.1.113883.6.5.2.1	218.0		
7008056	2.16.840.1.113883.6.5.2.1	719.30		
6820057	2.16.840.1.113883.6.5.2.1	681.10		
981054	2.16.840.1.113883.6.5.2.1	440.9		
1935058	2.16.840.1.113883.6.5.2.1	786.09		
5832053	2.16.840.1.113883.6.5.2.1	437.2		
646050	2.16.840.1.113883.6.5.2.1	337.20		
5999059	2.16.840.1.113883.6.5.2.1	485		
1009057	2.16.840.1.113883.6.5.2.1	470		
4550055	2.16.840.1.113883.6.5.2.1	245.1		
6402059	2.16.840.1.113883.6.5.2.1	588.0		
4792050	2.16.840.1.113883.6.5.2.1	296.34		
4679058	2.16.840.1.113883.6.5.2.1	281.0		
3418056	2.16.840.1.113883.6.5.2.1	042		
2006053	2.16.840.1.113883.6.5.2.1	789.60		
9541188054	2.16.840.1.113883.6.5.2.1	E988.9		
1381051	2.16.840.1.113883.6.5.2.1	692.76		
273059	2.16.840.1.113883.6.5.2.1	257.2		
532059	2.16.840.1.113883.6.5.2.1	307.50		
9555537055	2.16.840.1.113883.6.5.2.1	301.10		
9555431056	2.16.840.1.113883.6.5.2.1	290.9		
987053	2.16.840.1.113883.6.5.2.1	451.9		
2016058	2.16.840.1.113883.6.5.2.1	790.92		
9541135056	2.16.840.1.113883.6.5.2.1	E983.9		
2376057	2.16.840.1.113883.6.5.2.1	959.9		
3351053	2.16.840.1.113883.6.5.2.1	031.9		
5828055	2.16.840.1.113883.6.5.2.1	435.9		
2723051	2.16.840.1.113883.6.5.2.1	996.1		
9570408059	2.16.840.1.113883.6.5.2.1	790.21		
880051	2.16.840.1.113883.6.5.2.1	379.92		
4575056	2.16.840.1.113883.6.5.2.1	251.2		
1959050	2.16.840.1.113883.6.5.2.1	786.50		
4725056	2.16.840.1.113883.6.5.2.1	291.5		
5457054	2.16.840.1.113883.6.5.2.1	376.21		
5772052	2.16.840.1.113883.6.5.2.1	425.1		
9536157052	2.16.840.1.113883.6.5.2.1	716.14		
9325056	2.16.840.1.113883.6.5.2.1	992.1		
132051	2.16.840.1.113883.6.5.2.1	053.79		
1656058	2.16.840.1.113883.6.5.2.1	738.3		
645054	2.16.840.1.113883.6.5.2.1	337.0		
1784058	2.16.840.1.113883.6.5.2.1	766.1		
5920053	2.16.840.1.113883.6.5.2.1	457.2		
4545053	2.16.840.1.113883.6.5.2.1	244.1		
9535522053	2.16.840.1.113883.6.5.2.1	627.0		
1632057	2.16.840.1.113883.6.5.2.1	733.90		
5075056	2.16.840.1.113883.6.5.2.1	362.29		
9546760054	2.16.840.1.113883.6.5.2.1	E819.7		
6890050	2.16.840.1.113883.6.5.2.1	710.2		
6112056	2.16.840.1.113883.6.5.2.1	525.0		
239051	2.16.840.1.113883.6.5.2.1	239.2		
1324059	2.16.840.1.113883.6.5.2.1	659.90		
